rank	total_score	price_eur	motor	condition	source	title	url	description	price_score	motor_score	value_score	source_score
21	51.2	1799.0	Bosch	new	Airtracks	"28"" Trekking Fahrrad E-Bike V-Tron LS Rack BOSCH ACTIVE LINE 400 Wh 7 GANG SHIMANO NEXUS"	https://www.airtracks.de/collections/e-bike-herren-damen-bosch-schimano-motor/products/28-zoll-trekking-fahrrad-e-bike-v-tron-ls-rack-bosch-active-plus-line-gen3-400-wh-7-gang-shimano-nex	"e-bike-herren-damen-bosch-schimano-motor – 28"" Trekking Fahrrad E-Bike V-Tron LS Rack BOSCH ACTIVE LINE 400 Wh 7 GANG SHIMANO NEXUS"	11.2	30	5	5
22	46.4	2099.0	Bosch	new	Airtracks	"28"" Herren E-Bike Trekking Fahrrad LUMINA BOSCH PERFORMANCE LINE CX 500Wh 9s SHIMANO ALIVIO"	https://www.airtracks.de/collections/e-bike-herren-damen-bosch-schimano-motor/products/28-zoll-herren-e-bike-trekking-fahrrad-lumina-bosch-performance-line-cx-gen4-500wh-9s-shimano-alivio	"e-bike-herren-damen-bosch-schimano-motor – 28"" Herren E-Bike Trekking Fahrrad LUMINA BOSCH PERFORMANCE LINE CX 500Wh 9s SHIMANO ALIVIO"	6.4	30	5	5
23	46.4	2099.0	Bosch	new	Airtracks	"28"" Herren E-Bike Trekking Fahrrad LUMINA BOSCH PERFORMANCE LINE 500Wh 10s SHIMANO DEORE XT"	https://www.airtracks.de/collections/e-bike-herren-damen-bosch-schimano-motor/products/28-zoll-herren-e-bike-trekking-fahrrad-lumina-bosch-performance-line-gen3-500wh-10s-shimano-deore-xt	"e-bike-herren-damen-bosch-schimano-motor – 28"" Herren E-Bike Trekking Fahrrad LUMINA BOSCH PERFORMANCE LINE 500Wh 10s SHIMANO DEORE XT"	6.4	30	5	5
24	46.0	1499.0	Shimano	new	Airtracks	28 Zoll E-Bike City Fahrrad LS WAVE SR3 CR SHIMANO STEPS E-5000 418Wh 5 GANG SHIMANO NEXUS INTER	https://www.airtracks.de/collections/e-bike-herren-damen-bosch-schimano-motor/products/28-zoll-e-bike-city-fahrrad-creon-ls-wave-x-tron-sr3-shimano-st%D0%B5ps-e-5000-418wh-5-gang-shimano-nexus-inter-kopie	e-bike-herren-damen-bosch-schimano-motor – 28 Zoll E-Bike City Fahrrad LS WAVE SR3 CR SHIMANO STEPS E-5000 418Wh 5 GANG SHIMANO NEXUS INTER	16.0	20	5	5
25	46.0	1499.0	Shimano	new	Airtracks	"28"" E-Bike Herren City Fahrrad X-Tron SR3 SHIMANO STEPS E-5000 418Wh 5 GANG SHIMANO NEXUS INTER"	https://www.airtracks.de/collections/e-bike-herren-damen-bosch-schimano-motor/products/28-zoll-herren-e-bike-xtron-sr3-shimano-steps-e-5000-418-wh-nexus-inter-5-gang	"e-bike-herren-damen-bosch-schimano-motor – 28"" E-Bike Herren City Fahrrad X-Tron SR3 SHIMANO STEPS E-5000 418Wh 5 GANG SHIMANO NEXUS INTER"	16.0	20	5	5
26	45.6	2149.0	Bosch	new	Airtracks	"28"" Damen E-Bike Trekking Fahrrad LUMINA GX3  BOSCH ACTIVE PLUS LINE 500 Wh 9s SHIMANO ALIVIO RD T-4000"	https://www.airtracks.de/collections/e-bike-herren-damen-bosch-schimano-motor/products/28-zoll-damen-e-bike-lumina-gx-3-bosch-performance-line-powerpack-500-wh-shimano-xt-t-8000	"e-bike-herren-damen-bosch-schimano-motor – 28"" Damen E-Bike Trekking Fahrrad LUMINA GX3  BOSCH ACTIVE PLUS LINE 500 Wh 9s SHIMANO ALIVIO RD T-4"	5.6	30	5	5
27	45.6	2149.0	Bosch	new	Airtracks	"28"" Damen E-Bike Trekking Fahrrad LUMINA GX3  BOSCH ACTIVE PLUS LINE 500 Wh 9s SHIMANO ALIVIO RD T-4000"	https://www.airtracks.de/collections/e-bikes-fahrrader-sale/products/28-zoll-damen-e-bike-lumina-gx-3-bosch-performance-line-powerpack-500-wh-shimano-xt-t-8000	"e-bikes-fahrrader-sale – 28"" Damen E-Bike Trekking Fahrrad LUMINA GX3  BOSCH ACTIVE PLUS LINE 500 Wh 9s SHIMANO ALIVIO RD T-4"	5.6	30	5	5
28	45.2	1549.0	Shimano	new	Airtracks	"28"" Damen E-Bike SHIMANO STEPS E-5000 City LS Fahrrad Wave Citybike 7 x Gang SHIMANO NEXUS"	https://www.airtracks.de/collections/e-bike-herren-damen-bosch-schimano-motor/products/28-zoll-damen-e-bike-shimano-steps-e5000-city-ls-fahrrad-wave-citybike-7-x-gang-shimano-nexus	"e-bike-herren-damen-bosch-schimano-motor – 28"" Damen E-Bike SHIMANO STEPS E-5000 City LS Fahrrad Wave Citybike 7 x Gang SHIMANO NEXUS"	15.2	20	5	5
29	44.8	2199.0	Bosch	new	Airtracks	"28"" Damen E-Bike LS Trekking Fahrrad LUMINA BOSCH ACTIVE PLUS LINE 500 Wh 8s SHIMANO NEXUS"	https://www.airtracks.de/collections/e-bike-herren-damen-bosch-schimano-motor/products/28-zoll-damen-e-bike-ls-trekking-fahrrad-lumina-bosch-active-plus-line-gen3-500-wh-8s-shimano-nexus	"e-bike-herren-damen-bosch-schimano-motor – 28"" Damen E-Bike LS Trekking Fahrrad LUMINA BOSCH ACTIVE PLUS LINE 500 Wh 8s SHIMANO NEXUS"	4.8	30	5	5
30	44.8	2199.0	Bosch	new	Airtracks	"28"" Herren E-Bike Trekking Fahrrad NOVA BOSCH PERFORMANCE LINE 500Wh 10s Shimano DEORE RD-T6000"	https://www.airtracks.de/collections/e-bike-herren-damen-bosch-schimano-motor/products/28-zoll-herren-e-bike-trekking-fahrrad-nova-bosch-performance-line-500wh-10s-shimano-deore-rd-t6000	"e-bike-herren-damen-bosch-schimano-motor – 28"" Herren E-Bike Trekking Fahrrad NOVA BOSCH PERFORMANCE LINE 500Wh 10s Shimano DEORE RD-T6000"	4.8	30	5	5
